Arrived 1900-1945,Arrived 1946-1955,Arrived 1956-1965,Arrived 1966-1975,Arrived 1976-1985,Arrived 1986-1995,Arrived 1996-2005,Arrived 2006-2015,Total,State Native,State,Country of Origin
280,5027,4226,2480,6354,8183,4380,5599,37931,4246361,Victoria,Eastern Europe
3,10,32,231,5969,5259,2593,6921,22499,1292558,South Australia,Mainland South-East Asia
0,0,0,3,0,8,10,39,61,183429,Northern Territory,Central America
0,7,5,4,3,11,10,12,46,1292558,South Australia,Micronesia
1065,2223,8187,32712,75875,84919,114064,172096,518462,17238226,Total,New Zealand
581,2040,5481,7532,24225,98459,127793,320952,648159,17238226,Total,Chinese Asia (includes Mongolia)
12731,221256,411109,650974,558440,795135,991503,2146451,23401891,17238226,Total,Total
140,359,879,3509,7171,13183,14367,43083,87751,1676721,Western Australia,Maritime South-East Asia
0,22,26,29,48,60,52,190,465,183429,Northern Territory,Eastern Europe
201,4631,7588,11138,6075,5375,6564,15787,509961,448728,Tasmania,Total
61,6147,2592,3082,3157,2199,3039,6436,27890,1676721,Western Australia,Western Europe
18,126,175,786,4551,11274,17820,25768,65870,5407771,New South Wales,Japan and the Koreas
1615,18027,39371,61678,27853,24939,33367,52278,270877,5407771,New South Wales,"United Kingdom, Channel Islands and Isle of Man"
0,0,8,24,61,96,113,255,606,183429,Northern Territory,Polynesia (excludes Hawaii)
285,2927,4261,23029,17076,54911,113848,454930,730071,17238226,Total,Southern Asia
7,12,24,42,88,141,210,1314,2123,183429,Northern Territory,Chinese Asia (includes Mongolia)
10,53,88,386,496,1686,3617,10491,17922,292235,Australian Capital Territory,Southern Asia
0,0,0,0,0,3,12,67,88,183429,Northern Territory,Central Asia
39,284,839,3339,2472,3266,5212,10732,27981,3687318,Queensland,Northern America
590,1847,6066,20471,51959,97291,92021,208199,511041,17238226,Total,Maritime South-East Asia
0,9,32,187,99,92,139,327,941,4246361,Victoria,Caribbean
675,15932,60892,90029,20504,34195,36773,20630,290315,17238226,Total,South Eastern Europe
940,55407,43969,27440,20649,14738,22344,40754,238092,17238226,Total,Western Europe
883,23734,50682,57226,29623,32518,42214,125106,1676653,1292558,South Australia,Total
0,0,5,12,9,5,0,25,57,448728,Tasmania,Caribbean
4,26,35,163,213,412,550,1545,3181,292235,Australian Capital Territory,Middle East
28,1265,2424,4363,1467,4757,5909,6565,28043,5407771,New South Wales,North Africa
0,0,4,8,23,51,121,512,882,183429,Northern Territory,Japan and the Koreas
0,0,0,3,3,4,52,344,478,183429,Northern Territory,Central and West Africa
0,4,9,13,13,20,33,38,170,448728,Tasmania,Supplementary codes
472,837,3022,9944,19825,20102,27364,28868,117138,5407771,New South Wales,New Zealand
204,4970,20630,32910,6930,11330,11178,5582,97567,5407771,New South Wales,South Eastern Europe
0,0,23,30,54,75,73,75,356,448728,Tasmania,Polynesia (excludes Hawaii)
0,26,56,122,79,140,79,309,844,292235,Australian Capital Territory,Ireland
6,161,724,858,471,613,916,1572,5724,4246361,Victoria,Northern Europe
15,162,1191,2039,948,904,897,1535,8271,3687318,Queensland,Northern Europe
0,5,24,133,108,106,207,820,1572,183429,Northern Territory,Northern America
15,67,118,958,27254,29272,16180,41630,123552,4246361,Victoria,Mainland South-East Asia
4645,65250,155219,264447,112998,102566,124216,216094,1087758,17238226,Total,"United Kingdom, Channel Islands and Isle of Man"
22,129,1095,2476,4528,4796,18293,28848,62515,3687318,Queensland,Southern and East Africa
27,315,600,1030,1473,2705,2728,3468,14282,17238226,Total,Supplementary codes
189,6055,27468,42095,8976,13287,13109,8088,123717,4246361,Victoria,South Eastern Europe
209,524,2278,10676,29473,34425,46867,67076,201202,3687318,Queensland,New Zealand
39,396,402,1433,6601,17847,35308,65076,141270,17238226,Total,Japan and the Koreas
32,92,345,985,2203,3592,3688,12334,25106,1292558,South Australia,Maritime South-East Asia
66,8995,7694,6009,5346,3590,5143,7857,47072,3687318,Queensland,Western Europe
5,11,65,403,832,693,730,1609,4635,183429,Northern Territory,New Zealand
111,1056,3385,21633,17704,27003,30857,51227,162531,5407771,New South Wales,Middle East
46,6326,5634,2577,1364,797,1147,1802,20476,1292558,South Australia,Western Europe
20,46,313,243,737,1818,3820,19639,30032,1292558,South Australia,Chinese Asia (includes Mongolia)
0,0,23,40,27,36,611,1936,2908,1292558,South Australia,Central and West Africa
83,144,485,1548,6147,15780,13601,11447,51855,5407771,New South Wales,Polynesia (excludes Hawaii)
0,4,41,72,104,119,464,1267,2186,183429,Northern Territory,Southern and East Africa
8,10,35,128,65,24,17,41,350,448728,Tasmania,Melanesia
42,59,257,845,614,276,250,498,3080,4246361,Victoria,Melanesia
0,12,12,72,63,82,105,638,1136,448728,Tasmania,Middle East
4,7,20,27,46,29,48,46,235,5407771,New South Wales,Micronesia
0,244,464,465,174,357,2411,2631,7117,3687318,Queensland,North Africa
15,27,113,457,297,200,141,833,2236,1676721,Western Australia,Melanesia
394,14637,11821,7880,5179,4388,7139,13823,69128,5407771,New South Wales,Western Europe
10,59,144,334,499,940,862,1042,4420,5407771,New South Wales,Supplementary codes
91,378,1381,3180,6955,11319,11370,30281,69436,3687318,Queensland,Maritime South-East Asia
54,149,666,4041,9907,12935,13704,33969,79222,1676721,Western Australia,New Zealand
137,1131,2451,3802,1325,3494,4337,2425,19730,1676721,Western Australia,South Eastern Europe
0,28,102,140,51,46,42,77,505,448728,Tasmania,Northern Europe
131,494,1086,9082,8201,12428,15053,35913,88330,4246361,Victoria,Middle East
0,8,10,16,44,130,212,464,1009,448728,Tasmania,Japan and the Koreas
0,0,0,7,3,4,3,27,50,183429,Northern Territory,Caribbean
34,165,1142,5106,5991,9662,16408,23304,64571,4246361,Victoria,Southern and East Africa
0,0,12,18,43,71,173,550,929,292235,Australian Capital Territory,Central and West Africa
9,47,362,599,701,824,3470,6899,13695,1292558,South Australia,Southern and East Africa
8,13,54,282,1980,7918,1457,4055,16596,17238226,Total,Central America
3,17,48,372,170,134,224,358,1380,3687318,Queensland,Caribbean
6,218,423,179,56,33,35,88,1114,448728,Tasmania,Southern Europe
66,387,1204,3326,1613,3332,3570,9477,24037,5407771,New South Wales,Ireland
0,6,40,124,79,157,846,2980,4760,3687318,Queensland,Central and West Africa
688,7719,18421,56815,27028,28349,29184,56962,233047,1676721,Western Australia,"United Kingdom, Channel Islands and Isle of Man"
4,33,49,203,784,4877,12439,31253,52722,17238226,Total,Central Asia
0,0,4,19,6,10,198,119,373,183429,Northern Territory,North Africa
26,993,2554,2772,866,2372,6803,6457,23838,4246361,Victoria,North Africa
0,6,21,363,280,430,272,608,2074,292235,Australian Capital Territory,South America
12,23,68,62,83,199,401,2407,3837,448728,Tasmania,Chinese Asia (includes Mongolia)
297,1143,2816,4025,14066,56982,65820,124023,293123,5407771,New South Wales,Chinese Asia (includes Mongolia)
103,334,736,788,1999,9355,13862,38616,73988,3687318,Queensland,Chinese Asia (includes Mongolia)
6,10,47,382,374,378,388,1956,3756,1292558,South Australia,South America
8,96,91,248,707,1882,5605,12097,23320,4246361,Victoria,Japan and the Koreas
0,59,122,142,89,53,35,222,798,183429,Northern Territory,Southern Europe
3,5,27,149,147,92,91,109,663,183429,Northern Territory,Melanesia
0,0,7,34,32,41,47,167,338,183429,Northern Territory,South America
77,630,1073,5687,6198,23599,48346,147016,253910,5407771,New South Wales,Southern Asia
0,0,0,0,19,66,183,250,562,292235,Australian Capital Territory,Central Asia
0,3,10,19,7,6,58,245,375,448728,Tasmania,Central and West Africa
38,322,583,1493,978,1387,1473,4611,11354,3687318,Queensland,Ireland
3,20,121,234,364,418,942,1854,4094,292235,Australian Capital Territory,Southern and East Africa
316,1874,5032,33190,28566,44464,54854,114761,303093,17238226,Total,Middle East
0,0,0,3,7,8,9,3,30,183429,Northern Territory,Micronesia
25,49,173,526,802,781,912,1236,4728,292235,Australian Capital Territory,New Zealand
16,52,114,183,328,469,606,1752,3960,448728,Tasmania,Maritime South-East Asia
0,0,33,83,56,138,1035,3012,4679,1676721,Western Australia,Central and West Africa
69,1199,2885,4628,1621,3314,4323,2431,21204,3687318,Queensland,South Eastern Europe
0,4,13,56,290,1980,291,692,3468,3687318,Queensland,Central America
58,808,662,4572,1695,3975,7005,45132,69304,1676721,Western Australia,Southern Asia
0,12,188,310,59,64,75,122,870,292235,Australian Capital Territory,Northern Europe
13,1493,1225,663,577,331,369,448,5317,448728,Tasmania,Western Europe
0,9,23,246,117,113,109,288,930,1676721,Western Australia,Caribbean
19,39,110,182,482,1414,2360,7300,13673,292235,Australian Capital Territory,Chinese Asia (includes Mongolia)
0,4,0,23,17,28,51,340,502,183429,Northern Territory,Middle East
0,8,46,111,160,344,1083,3395,5589,4246361,Victoria,Central and West Africa
0,8,28,113,465,2276,4520,7041,15208,5407771,New South Wales,Central Asia
3,12,63,453,1015,1144,905,4764,9095,183429,Northern Territory,Maritime South-East Asia
0,3,35,60,25,27,26,78,266,183429,Northern Territory,Northern Europe
8,18,56,131,245,426,425,1262,2721,1676721,Western Australia,Polynesia (excludes Hawaii)
0,0,3,16,22,676,86,336,1193,1292558,South Australia,Central America
0,25,40,50,32,130,177,231,817,1292558,South Australia,Supplementary codes
0,4,5,10,9,15,12,18,70,1676721,Western Australia,Micronesia
8,55,246,915,726,816,1331,2161,6601,1292558,South Australia,Northern America
144,736,5355,16472,25248,32653,76374,119871,288358,17238226,Total,Southern and East Africa
29,56,130,437,1651,5052,5217,7208,20940,4246361,Victoria,Polynesia (excludes Hawaii)
172,1682,4016,10084,5513,10014,8641,31693,74891,17238226,Total,Ireland
355,16441,13923,6398,4516,2930,4787,8968,61369,4246361,Victoria,Western Europe
20,268,457,1759,1211,2559,1465,9660,18034,1676721,Western Australia,Ireland
0,6,11,14,12,51,77,64,258,292235,Australian Capital Territory,Supplementary codes
0,199,904,1501,328,549,474,382,4473,292235,Australian Capital Territory,South Eastern Europe
0,18,28,99,122,183,430,4761,6282,183429,Northern Territory,Southern Asia
4,9,19,57,161,356,300,450,1427,292235,Australian Capital Territory,Polynesia (excludes Hawaii)
15,99,384,1779,1463,1821,2779,5647,14839,1676721,Western Australia,Northern America
0,0,0,7,17,163,29,121,365,292235,Australian Capital Territory,Central America
224,484,1409,5043,11199,12521,21095,35661,93254,4246361,Victoria,New Zealand
28,97,160,629,594,1003,2013,6031,11690,1292558,South Australia,Middle East
194,1120,3604,14356,11891,15306,24912,49511,129703,17238226,Total,Northern America
7,99,368,323,84,112,118,96,1272,448728,Tasmania,South Eastern Europe
0,3,9,25,47,1117,124,353,1730,1676721,Western Australia,Central America
1139,16178,35817,48724,22450,17537,21328,37869,209773,4246361,Victoria,"United Kingdom, Channel Islands and Isle of Man"
25,1193,392,486,2209,1993,1341,3711,11845,1676721,Western Australia,Eastern Europe
0,4,4,28,73,119,183,816,1369,448728,Tasmania,Mainland South-East Asia
11,410,1021,706,196,144,95,335,3023,292235,Australian Capital Territory,Southern Europe
302,4142,4858,3108,1092,787,801,2964,19402,3687318,Queensland,Southern Europe
0,24,240,641,693,1562,6077,17086,28830,17238226,Total,Central and West Africa
3,136,209,294,633,1170,863,1062,5033,4246361,Victoria,Supplementary codes
0,5,0,35,859,2221,450,1211,5059,4246361,Victoria,Central America
482,490,2237,7964,6039,3532,3472,6703,33234,17238226,Total,Melanesia
30,75,235,746,2048,5621,6876,8279,25136,3687318,Queensland,Polynesia (excludes Hawaii)
337,7125,25567,37813,8949,7427,8069,15986,115111,1292558,South Australia,"United Kingdom, Channel Islands and Isle of Man"
0,0,3,3,18,162,1250,5058,6907,1292558,South Australia,Central Asia
0,33,32,84,405,904,2353,6173,11163,1676721,Western Australia,Japan and the Koreas
19,72,265,10722,7510,8251,6335,16919,54564,5407771,New South Wales,South America
26,48,189,678,1087,973,912,811,4980,448728,Tasmania,New Zealand
0,196,252,352,175,391,2262,2413,6319,1676721,Western Australia,North Africa
3,22,14,52,141,291,723,1555,3074,292235,Australian Capital Territory,Japan and the Koreas
0,0,5,3,0,4,0,3,20,448728,Tasmania,Micronesia
7,43,76,675,6553,7113,4791,14491,36163,3687318,Queensland,Mainland South-East Asia
181,4943,3569,2791,6391,6615,6243,9992,42946,5407771,New South Wales,Eastern Europe
22,123,224,947,935,1508,2600,10328,18451,3687318,Queensland,Middle East
162,323,1021,3048,10536,27775,26954,29444,104640,17238226,Total,Polynesia (excludes Hawaii)
96,365,1271,1722,5624,24808,35396,104806,193152,4246361,Victoria,Chinese Asia (includes Mongolia)
58,2918,6005,8199,2817,8167,19351,20222,70996,17238226,Total,North Africa
11,217,1125,1980,777,1088,1329,2476,9708,5407771,New South Wales,Northern Europe
0,3,0,9,33,209,733,2847,4073,3687318,Queensland,Central Asia
32,177,709,17153,14677,14891,12569,44416,114600,17238226,Total,South America
0,0,14,40,14,14,27,71,199,1292558,South Australia,Caribbean
0,31,61,157,90,90,73,148,676,448728,Tasmania,Ireland
0,18,48,642,796,689,945,5507,9409,1676721,Western Australia,South America
5,41,214,806,380,411,427,913,3408,1676721,Western Australia,Northern Europe
0,0,6,6,44,330,1254,3695,5651,1676721,Western Australia,Central Asia
0,204,211,285,173,133,222,598,2022,183429,Northern Territory,Western Europe
4,166,247,143,82,188,1174,1424,3632,1292558,South Australia,North Africa
1640,49076,82053,49583,12820,7909,5562,21281,243323,17238226,Total,Southern Europe
4577,63977,121131,208699,201234,316630,368942,657868,7480230,5407771,New South Wales,Total
4,324,220,159,351,466,314,408,2326,292235,Australian Capital Territory,Eastern Europe
0,20,19,19,17,10,210,179,521,448728,Tasmania,North Africa
0,29,21,42,159,375,1110,2998,5217,1292558,South Australia,Japan and the Koreas
19,214,267,895,579,1069,3354,31209,41113,1292558,South Australia,Southern Asia
7,1163,865,537,344,364,498,826,4794,292235,Australian Capital Territory,Western Europe
84,725,1436,9196,6437,20599,42320,163520,264961,4246361,Victoria,Southern Asia
5,38,56,137,83,143,301,3240,4415,448728,Tasmania,Southern Asia
26,64,128,640,838,1996,3622,8755,17221,1676721,Western Australia,Middle East
0,0,26,37,41,54,105,176,476,3687318,Queensland,Micronesia
9,35,108,175,154,257,419,614,2104,3687318,Queensland,Supplementary codes
47,238,682,2784,2529,3279,5699,11489,28763,4246361,Victoria,Northern America
4,31,120,1447,1147,1378,2155,9789,18343,3687318,Queensland,South America
0,13,15,73,207,1828,4477,12052,19909,4246361,Victoria,Central Asia
128,356,1134,4459,13774,26362,26764,57915,140950,4246361,Victoria,Maritime South-East Asia
12,23,92,132,163,149,281,346,1306,17238226,Total,Micronesia
0,10,76,244,321,808,2211,4619,9098,5407771,New South Wales,Central and West Africa
37,25,85,322,185,85,68,129,1026,1292558,South Australia,Melanesia
36,1972,1029,662,1804,2057,1157,1468,10614,1292558,South Australia,Eastern Europe
479,14007,24035,18109,4856,3257,1971,7668,78775,5407771,New South Wales,Southern Europe
8,88,70,195,570,2943,7363,15510,30738,3687318,Queensland,Japan and the Koreas
