Year_Range,Migration_val,Total,Total_Imm,State_Native,Total_Pop,state,Country_Origin
2006-2015,1792,22166,61071,448728,509799,Tasmania,"United Kingdom, Channel Islands and Isle of Man"
1900-1945,93,22166,61071,448728,509799,Tasmania,"United Kingdom, Channel Islands and Isle of Man"
1946-1955,2222,22166,61071,448728,509799,Tasmania,"United Kingdom, Channel Islands and Isle of Man"
1956-1965,4384,22166,61071,448728,509799,Tasmania,"United Kingdom, Channel Islands and Isle of Man"
1966-1975,7400,22166,61071,448728,509799,Tasmania,"United Kingdom, Channel Islands and Isle of Man"
1976-1985,2445,22166,61071,448728,509799,Tasmania,"United Kingdom, Channel Islands and Isle of Man"
1986-1995,1510,22166,61071,448728,509799,Tasmania,"United Kingdom, Channel Islands and Isle of Man"
1996-2005,1470,22166,61071,448728,509799,Tasmania,"United Kingdom, Channel Islands and Isle of Man"
2006-2015,192,522,61071,448728,509799,Tasmania,South America
1900-1945,0,522,61071,448728,509799,Tasmania,South America
1946-1955,0,522,61071,448728,509799,Tasmania,South America
1956-1965,17,522,61071,448728,509799,Tasmania,South America
1966-1975,97,522,61071,448728,509799,Tasmania,South America
1976-1985,42,522,61071,448728,509799,Tasmania,South America
1986-1995,85,522,61071,448728,509799,Tasmania,South America
1996-2005,59,522,61071,448728,509799,Tasmania,South America
2006-2015,20145,65540,2067794,5407771,7475565,New South Wales,Southern and East Africa
1900-1945,52,65540,2067794,5407771,7475565,New South Wales,Southern and East Africa
1946-1955,203,65540,2067794,5407771,7475565,New South Wales,Southern and East Africa
1956-1965,1337,65540,2067794,5407771,7475565,New South Wales,Southern and East Africa
1966-1975,5012,65540,2067794,5407771,7475565,New South Wales,Southern and East Africa
1976-1985,8037,65540,2067794,5407771,7475565,New South Wales,Southern and East Africa
1986-1995,10081,65540,2067794,5407771,7475565,New South Wales,Southern and East Africa
1996-2005,18099,65540,2067794,5407771,7475565,New South Wales,Southern and East Africa
2006-2015,1515,5138,6148891,17238226,23387117,Total,Caribbean
1900-1945,7,5138,6148891,17238226,23387117,Total,Caribbean
1946-1955,59,5138,6148891,17238226,23387117,Total,Caribbean
1956-1965,187,5138,6148891,17238226,23387117,Total,Caribbean
1966-1975,1207,5138,6148891,17238226,23387117,Total,Caribbean
1976-1985,619,5138,6148891,17238226,23387117,Total,Caribbean
1986-1995,544,5138,6148891,17238226,23387117,Total,Caribbean
1996-2005,756,5138,6148891,17238226,23387117,Total,Caribbean
2006-2015,38410,135642,2067794,5407771,7475565,New South Wales,Mainland South-East Asia
1900-1945,14,135642,2067794,5407771,7475565,New South Wales,Mainland South-East Asia
1946-1955,81,135642,2067794,5407771,7475565,New South Wales,Mainland South-East Asia
1956-1965,177,135642,2067794,5407771,7475565,New South Wales,Mainland South-East Asia
1966-1975,1603,135642,2067794,5407771,7475565,New South Wales,Mainland South-East Asia
1976-1985,35103,135642,2067794,5407771,7475565,New South Wales,Mainland South-East Asia
1986-1995,32295,135642,2067794,5407771,7475565,New South Wales,Mainland South-East Asia
1996-2005,19546,135642,2067794,5407771,7475565,New South Wales,Mainland South-East Asia
2006-2015,747,2460,61071,448728,509799,Tasmania,Northern America
1900-1945,6,2460,61071,448728,509799,Tasmania,Northern America
1946-1955,23,2460,61071,448728,509799,Tasmania,Northern America
1956-1965,95,2460,61071,448728,509799,Tasmania,Northern America
1966-1975,434,2460,61071,448728,509799,Tasmania,Northern America
1976-1985,274,2460,61071,448728,509799,Tasmania,Northern America
1986-1995,301,2460,61071,448728,509799,Tasmania,Northern America
1996-2005,468,2460,61071,448728,509799,Tasmania,Northern America
2006-2015,772,6918,2067794,5407771,7475565,New South Wales,Melanesia
1900-1945,210,6918,2067794,5407771,7475565,New South Wales,Melanesia
1946-1955,194,6918,2067794,5407771,7475565,New South Wales,Melanesia
1956-1965,732,6918,2067794,5407771,7475565,New South Wales,Melanesia
1966-1975,1989,6918,2067794,5407771,7475565,New South Wales,Melanesia
1976-1985,1363,6918,2067794,5407771,7475565,New South Wales,Melanesia
1986-1995,684,6918,2067794,5407771,7475565,New South Wales,Melanesia
1996-2005,575,6918,2067794,5407771,7475565,New South Wales,Melanesia
2006-2015,5886,15621,1675076,4246361,5921437,Victoria,Ireland
1900-1945,41,15621,1675076,4246361,5921437,Victoria,Ireland
1946-1955,508,15621,1675076,4246361,5921437,Victoria,Ireland
1956-1965,1233,15621,1675076,4246361,5921437,Victoria,Ireland
1966-1975,2345,15621,1675076,4246361,5921437,Victoria,Ireland
1976-1985,1225,15621,1675076,4246361,5921437,Victoria,Ireland
1986-1995,2063,15621,1675076,4246361,5921437,Victoria,Ireland
1996-2005,1640,15621,1675076,4246361,5921437,Victoria,Ireland
2006-2015,4948,16556,1013715,3687318,4701033,Queensland,Eastern Europe
1900-1945,48,16556,1013715,3687318,4701033,Queensland,Eastern Europe
1946-1955,1599,16556,1013715,3687318,4701033,Queensland,Eastern Europe
1956-1965,1124,16556,1013715,3687318,4701033,Queensland,Eastern Europe
1966-1975,1085,16556,1013715,3687318,4701033,Queensland,Eastern Europe
1976-1985,2178,16556,1013715,3687318,4701033,Queensland,Eastern Europe
1986-1995,2472,16556,1013715,3687318,4701033,Queensland,Eastern Europe
1996-2005,2401,16556,1013715,3687318,4701033,Queensland,Eastern Europe
2006-2015,924,21358,383274,1292558,1675832,South Australia,Southern Europe
1900-1945,174,21358,383274,1292558,1675832,South Australia,Southern Europe
1946-1955,4942,21358,383274,1292558,1675832,South Australia,Southern Europe
1956-1965,9187,21358,383274,1292558,1675832,South Australia,Southern Europe
1966-1975,3548,21358,383274,1292558,1675832,South Australia,Southern Europe
1976-1985,747,21358,383274,1292558,1675832,South Australia,Southern Europe
1986-1995,463,21358,383274,1292558,1675832,South Australia,Southern Europe
1996-2005,308,21358,383274,1292558,1675832,South Australia,Southern Europe
2006-2015,120,826,104898,292235,397133,Australian Capital Territory,Melanesia
1900-1945,9,826,104898,292235,397133,Australian Capital Territory,Melanesia
1946-1955,10,826,104898,292235,397133,Australian Capital Territory,Melanesia
1956-1965,73,826,104898,292235,397133,Australian Capital Territory,Melanesia
1966-1975,264,826,104898,292235,397133,Australian Capital Territory,Melanesia
1976-1985,129,826,104898,292235,397133,Australian Capital Territory,Melanesia
1986-1995,84,826,104898,292235,397133,Australian Capital Territory,Melanesia
1996-2005,53,826,104898,292235,397133,Australian Capital Territory,Melanesia
2006-2015,1947,6718,45293,183429,228722,Northern Territory,"United Kingdom, Channel Islands and Isle of Man"
1900-1945,5,6718,45293,183429,228722,Northern Territory,"United Kingdom, Channel Islands and Isle of Man"
1946-1955,266,6718,45293,183429,228722,Northern Territory,"United Kingdom, Channel Islands and Isle of Man"
1956-1965,850,6718,45293,183429,228722,Northern Territory,"United Kingdom, Channel Islands and Isle of Man"
1966-1975,1506,6718,45293,183429,228722,Northern Territory,"United Kingdom, Channel Islands and Isle of Man"
1976-1985,588,6718,45293,183429,228722,Northern Territory,"United Kingdom, Channel Islands and Isle of Man"
1986-1995,508,6718,45293,183429,228722,Northern Territory,"United Kingdom, Channel Islands and Isle of Man"
1996-2005,638,6718,45293,183429,228722,Northern Territory,"United Kingdom, Channel Islands and Isle of Man"
2006-2015,1158,20663,383274,1292558,1675832,South Australia,South Eastern Europe
1900-1945,65,20663,383274,1292558,1675832,South Australia,South Eastern Europe
1946-1955,2233,20663,383274,1292558,1675832,South Australia,South Eastern Europe
1956-1965,5921,20663,383274,1292558,1675832,South Australia,South Eastern Europe
1966-1975,4393,20663,383274,1292558,1675832,South Australia,South Eastern Europe
1976-1985,1055,20663,383274,1292558,1675832,South Australia,South Eastern Europe
1986-1995,2003,20663,383274,1292558,1675832,South Australia,South Eastern Europe
1996-2005,3084,20663,383274,1292558,1675832,South Australia,South Eastern Europe
2006-2015,1044,2353,45293,183429,228722,Northern Territory,Mainland South-East Asia
1900-1945,0,2353,45293,183429,228722,Northern Territory,Mainland South-East Asia
1946-1955,0,2353,45293,183429,228722,Northern Territory,Mainland South-East Asia
1956-1965,4,2353,45293,183429,228722,Northern Territory,Mainland South-East Asia
1966-1975,36,2353,45293,183429,228722,Northern Territory,Mainland South-East Asia
1976-1985,335,2353,45293,183429,228722,Northern Territory,Mainland South-East Asia
1986-1995,382,2353,45293,183429,228722,Northern Territory,Mainland South-East Asia
1996-2005,349,2353,45293,183429,228722,Northern Territory,Mainland South-East Asia
2006-2015,5685,94757,1675076,4246361,5921437,Victoria,Southern Europe
1900-1945,480,94757,1675076,4246361,5921437,Victoria,Southern Europe
1946-1955,20262,94757,1675076,4246361,5921437,Victoria,Southern Europe
1956-1965,35968,94757,1675076,4246361,5921437,Victoria,Southern Europe
1966-1975,19159,94757,1675076,4246361,5921437,Victoria,Southern Europe
1976-1985,4355,94757,1675076,4246361,5921437,Victoria,Southern Europe
1986-1995,2252,94757,1675076,4246361,5921437,Victoria,Southern Europe
1996-2005,1608,94757,1675076,4246361,5921437,Victoria,Southern Europe
2006-2015,9271,25589,1675076,4246361,5921437,Victoria,South America
1900-1945,11,25589,1675076,4246361,5921437,Victoria,South America
1946-1955,39,25589,1675076,4246361,5921437,Victoria,South America
1956-1965,185,25589,1675076,4246361,5921437,Victoria,South America
1966-1975,3464,25589,1675076,4246361,5921437,Victoria,South America
1976-1985,4498,25589,1675076,4246361,5921437,Victoria,South America
1986-1995,3640,25589,1675076,4246361,5921437,Victoria,South America
1996-2005,2358,25589,1675076,4246361,5921437,Victoria,South America
2006-2015,3395,24092,796296,1676721,2473017,Western Australia,Southern Europe
1900-1945,199,24092,796296,1676721,2473017,Western Australia,Southern Europe
1946-1955,5034,24092,796296,1676721,2473017,Western Australia,Southern Europe
1956-1965,6446,24092,796296,1676721,2473017,Western Australia,Southern Europe
1966-1975,4624,24092,796296,1676721,2473017,Western Australia,Southern Europe
1976-1985,1418,24092,796296,1676721,2473017,Western Australia,Southern Europe
1986-1995,928,24092,796296,1676721,2473017,Western Australia,Southern Europe
1996-2005,704,24092,796296,1676721,2473017,Western Australia,Southern Europe
2006-2015,27,74,104898,292235,397133,Australian Capital Territory,Caribbean
1900-1945,0,74,104898,292235,397133,Australian Capital Territory,Caribbean
1946-1955,4,74,104898,292235,397133,Australian Capital Territory,Caribbean
1956-1965,0,74,104898,292235,397133,Australian Capital Territory,Caribbean
1966-1975,13,74,104898,292235,397133,Australian Capital Territory,Caribbean
1976-1985,5,74,104898,292235,397133,Australian Capital Territory,Caribbean
1986-1995,10,74,104898,292235,397133,Australian Capital Territory,Caribbean
1996-2005,3,74,104898,292235,397133,Australian Capital Territory,Caribbean
2006-2015,2012,6316,104898,292235,397133,Australian Capital Territory,Mainland South-East Asia
1900-1945,0,6316,104898,292235,397133,Australian Capital Territory,Mainland South-East Asia
1946-1955,8,6316,104898,292235,397133,Australian Capital Territory,Mainland South-East Asia
1956-1965,26,6316,104898,292235,397133,Australian Capital Territory,Mainland South-East Asia
1966-1975,222,6316,104898,292235,397133,Australian Capital Territory,Mainland South-East Asia
1976-1985,1563,6316,104898,292235,397133,Australian Capital Territory,Mainland South-East Asia
1986-1995,1223,6316,104898,292235,397133,Australian Capital Territory,Mainland South-East Asia
1996-2005,914,6316,104898,292235,397133,Australian Capital Territory,Mainland South-East Asia
2006-2015,17,38,104898,292235,397133,Australian Capital Territory,Micronesia
1900-1945,0,38,104898,292235,397133,Australian Capital Territory,Micronesia
1946-1955,0,38,104898,292235,397133,Australian Capital Territory,Micronesia
1956-1965,3,38,104898,292235,397133,Australian Capital Territory,Micronesia
1966-1975,0,38,104898,292235,397133,Australian Capital Territory,Micronesia
1976-1985,3,38,104898,292235,397133,Australian Capital Territory,Micronesia
1986-1995,0,38,104898,292235,397133,Australian Capital Territory,Micronesia
1996-2005,0,38,104898,292235,397133,Australian Capital Territory,Micronesia
2006-2015,7036,30433,6148891,17238226,23387117,Total,Northern Europe
1900-1945,37,30433,6148891,17238226,23387117,Total,Northern Europe
1946-1955,672,30433,6148891,17238226,23387117,Total,Northern Europe
1956-1965,3890,30433,6148891,17238226,23387117,Total,Northern Europe
1966-1975,6641,30433,6148891,17238226,23387117,Total,Northern Europe
1976-1985,2852,30433,6148891,17238226,23387117,Total,Northern Europe
1986-1995,3321,30433,6148891,17238226,23387117,Total,Northern Europe
1996-2005,3921,30433,6148891,17238226,23387117,Total,Northern Europe
2006-2015,980,2745,61071,448728,509799,Tasmania,Southern and East Africa
1900-1945,4,2745,61071,448728,509799,Tasmania,Southern and East Africa
1946-1955,18,2745,61071,448728,509799,Tasmania,Southern and East Africa
1956-1965,180,2745,61071,448728,509799,Tasmania,Southern and East Africa
1966-1975,221,2745,61071,448728,509799,Tasmania,Southern and East Africa
1976-1985,299,2745,61071,448728,509799,Tasmania,Southern and East Africa
1986-1995,279,2745,61071,448728,509799,Tasmania,Southern and East Africa
1996-2005,615,2745,61071,448728,509799,Tasmania,Southern and East Africa
2006-2015,118314,361804,6148891,17238226,23387117,Total,Mainland South-East Asia
1900-1945,48,361804,6148891,17238226,23387117,Total,Mainland South-East Asia
1946-1955,358,361804,6148891,17238226,23387117,Total,Mainland South-East Asia
1956-1965,727,361804,6148891,17238226,23387117,Total,Mainland South-East Asia
1966-1975,5855,361804,6148891,17238226,23387117,Total,Mainland South-East Asia
1976-1985,82292,361804,6148891,17238226,23387117,Total,Mainland South-East Asia
1986-1995,82343,361804,6148891,17238226,23387117,Total,Mainland South-East Asia
1996-2005,48704,361804,6148891,17238226,23387117,Total,Mainland South-East Asia
2006-2015,78,386,1675076,4246361,5921437,Victoria,Micronesia
1900-1945,9,386,1675076,4246361,5921437,Victoria,Micronesia
1946-1955,6,386,1675076,4246361,5921437,Victoria,Micronesia
1956-1965,36,386,1675076,4246361,5921437,Victoria,Micronesia
1966-1975,51,386,1675076,4246361,5921437,Victoria,Micronesia
1976-1985,51,386,1675076,4246361,5921437,Victoria,Micronesia
1986-1995,40,386,1675076,4246361,5921437,Victoria,Micronesia
1996-2005,91,386,1675076,4246361,5921437,Victoria,Micronesia
2006-2015,33,218,61071,448728,509799,Tasmania,Central America
1900-1945,0,218,61071,448728,509799,Tasmania,Central America
1946-1955,0,218,61071,448728,509799,Tasmania,Central America
1956-1965,0,218,61071,448728,509799,Tasmania,Central America
1966-1975,3,218,61071,448728,509799,Tasmania,Central America
1976-1985,3,218,61071,448728,509799,Tasmania,Central America
1986-1995,145,218,61071,448728,509799,Tasmania,Central America
1996-2005,24,218,61071,448728,509799,Tasmania,Central America
2006-2015,16506,43523,2067794,5407771,7475565,New South Wales,Northern America
1900-1945,84,43523,2067794,5407771,7475565,New South Wales,Northern America
1946-1955,386,43523,2067794,5407771,7475565,New South Wales,Northern America
1956-1965,1223,43523,2067794,5407771,7475565,New South Wales,Northern America
1966-1975,4458,43523,2067794,5407771,7475565,New South Wales,Northern America
1976-1985,3889,43523,2067794,5407771,7475565,New South Wales,Northern America
1986-1995,5178,43523,2067794,5407771,7475565,New South Wales,Northern America
1996-2005,8503,43523,2067794,5407771,7475565,New South Wales,Northern America
2006-2015,46828,214370,1013715,3687318,4701033,Queensland,"United Kingdom, Channel Islands and Isle of Man"
1900-1945,709,214370,1013715,3687318,4701033,Queensland,"United Kingdom, Channel Islands and Isle of Man"
1946-1955,12541,214370,1013715,3687318,4701033,Queensland,"United Kingdom, Channel Islands and Isle of Man"
1956-1965,27981,214370,1013715,3687318,4701033,Queensland,"United Kingdom, Channel Islands and Isle of Man"
1966-1975,46324,214370,1013715,3687318,4701033,Queensland,"United Kingdom, Channel Islands and Isle of Man"
1976-1985,21950,214370,1013715,3687318,4701033,Queensland,"United Kingdom, Channel Islands and Isle of Man"
1986-1995,20943,214370,1013715,3687318,4701033,Queensland,"United Kingdom, Channel Islands and Isle of Man"
1996-2005,28714,214370,1013715,3687318,4701033,Queensland,"United Kingdom, Channel Islands and Isle of Man"
2006-2015,465,1685,45293,183429,228722,Northern Territory,South Eastern Europe
1900-1945,0,1685,45293,183429,228722,Northern Territory,South Eastern Europe
1946-1955,49,1685,45293,183429,228722,Northern Territory,South Eastern Europe
1956-1965,263,1685,45293,183429,228722,Northern Territory,South Eastern Europe
1966-1975,380,1685,45293,183429,228722,Northern Territory,South Eastern Europe
1976-1985,184,1685,45293,183429,228722,Northern Territory,South Eastern Europe
1986-1995,101,1685,45293,183429,228722,Northern Territory,South Eastern Europe
1996-2005,152,1685,45293,183429,228722,Northern Territory,South Eastern Europe
2006-2015,3569,8642,104898,292235,397133,Australian Capital Territory,Maritime South-East Asia
1900-1945,13,8642,104898,292235,397133,Australian Capital Territory,Maritime South-East Asia
1946-1955,52,8642,104898,292235,397133,Australian Capital Territory,Maritime South-East Asia
1956-1965,231,8642,104898,292235,397133,Australian Capital Territory,Maritime South-East Asia
1966-1975,599,8642,104898,292235,397133,Australian Capital Territory,Maritime South-East Asia
1976-1985,858,8642,104898,292235,397133,Australian Capital Territory,Maritime South-East Asia
1986-1995,1318,8642,104898,292235,397133,Australian Capital Territory,Maritime South-East Asia
1996-2005,1285,8642,104898,292235,397133,Australian Capital Territory,Maritime South-East Asia
2006-2015,1274,4493,2067794,5407771,7475565,New South Wales,Central America
1900-1945,6,4493,2067794,5407771,7475565,New South Wales,Central America
1946-1955,4,4493,2067794,5407771,7475565,New South Wales,Central America
1956-1965,23,4493,2067794,5407771,7475565,New South Wales,Central America
1966-1975,135,4493,2067794,5407771,7475565,New South Wales,Central America
1976-1985,735,4493,2067794,5407771,7475565,New South Wales,Central America
1986-1995,1605,4493,2067794,5407771,7475565,New South Wales,Central America
1996-2005,444,4493,2067794,5407771,7475565,New South Wales,Central America
2006-2015,247,319,61071,448728,509799,Tasmania,Central Asia
1900-1945,0,319,61071,448728,509799,Tasmania,Central Asia
1946-1955,0,319,61071,448728,509799,Tasmania,Central Asia
1956-1965,0,319,61071,448728,509799,Tasmania,Central Asia
1966-1975,0,319,61071,448728,509799,Tasmania,Central Asia
1976-1985,0,319,61071,448728,509799,Tasmania,Central Asia
1986-1995,4,319,61071,448728,509799,Tasmania,Central Asia
1996-2005,12,319,61071,448728,509799,Tasmania,Central Asia
2006-2015,49557,72148,1013715,3687318,4701033,Queensland,Southern Asia
1900-1945,36,72148,1013715,3687318,4701033,Queensland,Southern Asia
1946-1955,432,72148,1013715,3687318,4701033,Queensland,Southern Asia
1956-1965,650,72148,1013715,3687318,4701033,Queensland,Southern Asia
1966-1975,2064,72148,1013715,3687318,4701033,Queensland,Southern Asia
1976-1985,1462,72148,1013715,3687318,4701033,Queensland,Southern Asia
1986-1995,3662,72148,1013715,3687318,4701033,Queensland,Southern Asia
1996-2005,8472,72148,1013715,3687318,4701033,Queensland,Southern Asia
2006-2015,12966,33841,796296,1676721,2473017,Western Australia,Mainland South-East Asia
1900-1945,9,33841,796296,1676721,2473017,Western Australia,Mainland South-East Asia
1946-1955,152,33841,796296,1676721,2473017,Western Australia,Mainland South-East Asia
1956-1965,289,33841,796296,1676721,2473017,Western Australia,Mainland South-East Asia
1966-1975,2101,33841,796296,1676721,2473017,Western Australia,Mainland South-East Asia
1976-1985,5429,33841,796296,1676721,2473017,Western Australia,Mainland South-East Asia
1986-1995,6669,33841,796296,1676721,2473017,Western Australia,Mainland South-East Asia
1996-2005,4138,33841,796296,1676721,2473017,Western Australia,Mainland South-East Asia
2006-2015,1398,3948,104898,292235,397133,Australian Capital Territory,Northern America
1900-1945,3,3948,104898,292235,397133,Australian Capital Territory,Northern America
1946-1955,29,3948,104898,292235,397133,Australian Capital Territory,Northern America
1956-1965,98,3948,104898,292235,397133,Australian Capital Territory,Northern America
1966-1975,510,3948,104898,292235,397133,Australian Capital Territory,Northern America
1976-1985,432,3948,104898,292235,397133,Australian Capital Territory,Northern America
1986-1995,529,3948,104898,292235,397133,Australian Capital Territory,Northern America
1996-2005,697,3948,104898,292235,397133,Australian Capital Territory,Northern America
2006-2015,189,1372,61071,448728,509799,Tasmania,Eastern Europe
1900-1945,3,1372,61071,448728,509799,Tasmania,Eastern Europe
1946-1955,267,1372,61071,448728,509799,Tasmania,Eastern Europe
1956-1965,168,1372,61071,448728,509799,Tasmania,Eastern Europe
1966-1975,113,1372,61071,448728,509799,Tasmania,Eastern Europe
1976-1985,234,1372,61071,448728,509799,Tasmania,Eastern Europe
1986-1995,193,1372,61071,448728,509799,Tasmania,Eastern Europe
1996-2005,135,1372,61071,448728,509799,Tasmania,Eastern Europe
2006-2015,54398,165567,2067794,5407771,7475565,New South Wales,Maritime South-East Asia
1900-1945,164,165567,2067794,5407771,7475565,New South Wales,Maritime South-East Asia
1946-1955,542,165567,2067794,5407771,7475565,New South Wales,Maritime South-East Asia
1956-1965,1904,165567,2067794,5407771,7475565,New South Wales,Maritime South-East Asia
1966-1975,7051,165567,2067794,5407771,7475565,New South Wales,Maritime South-East Asia
1976-1985,19483,165567,2067794,5407771,7475565,New South Wales,Maritime South-East Asia
1986-1995,39823,165567,2067794,5407771,7475565,New South Wales,Maritime South-East Asia
1996-2005,33003,165567,2067794,5407771,7475565,New South Wales,Maritime South-East Asia
2006-2015,22830,38201,796296,1676721,2473017,Western Australia,Chinese Asia (includes Mongolia)
1900-1945,30,38201,796296,1676721,2473017,Western Australia,Chinese Asia (includes Mongolia)
1946-1955,70,38201,796296,1676721,2473017,Western Australia,Chinese Asia (includes Mongolia)
1956-1965,144,38201,796296,1676721,2473017,Western Australia,Chinese Asia (includes Mongolia)
1966-1975,482,38201,796296,1676721,2473017,Western Australia,Chinese Asia (includes Mongolia)
1976-1985,1141,38201,796296,1676721,2473017,Western Australia,Chinese Asia (includes Mongolia)
1986-1995,3744,38201,796296,1676721,2473017,Western Australia,Chinese Asia (includes Mongolia)
1996-2005,5908,38201,796296,1676721,2473017,Western Australia,Chinese Asia (includes Mongolia)
2006-2015,433,1539,383274,1292558,1675832,South Australia,Polynesia (excludes Hawaii)
1900-1945,10,1539,383274,1292558,1675832,South Australia,Polynesia (excludes Hawaii)
1946-1955,20,1539,383274,1292558,1675832,South Australia,Polynesia (excludes Hawaii)
1956-1965,55,1539,383274,1292558,1675832,South Australia,Polynesia (excludes Hawaii)
1966-1975,76,1539,383274,1292558,1675832,South Australia,Polynesia (excludes Hawaii)
1976-1985,161,1539,383274,1292558,1675832,South Australia,Polynesia (excludes Hawaii)
1986-1995,366,1539,383274,1292558,1675832,South Australia,Polynesia (excludes Hawaii)
1996-2005,345,1539,383274,1292558,1675832,South Australia,Polynesia (excludes Hawaii)
2006-2015,26501,124056,6148891,17238226,23387117,Total,Eastern Europe
1900-1945,580,124056,6148891,17238226,23387117,Total,Eastern Europe
1946-1955,15352,124056,6148891,17238226,23387117,Total,Eastern Europe
1956-1965,10748,124056,6148891,17238226,23387117,Total,Eastern Europe
1966-1975,7795,124056,6148891,17238226,23387117,Total,Eastern Europe
1976-1985,19554,124056,6148891,17238226,23387117,Total,Eastern Europe
1986-1995,22042,124056,6148891,17238226,23387117,Total,Eastern Europe
1996-2005,16024,124056,6148891,17238226,23387117,Total,Eastern Europe
2006-2015,265,1659,383274,1292558,1675832,South Australia,Northern Europe
1900-1945,0,1659,383274,1292558,1675832,South Australia,Northern Europe
1946-1955,46,1659,383274,1292558,1675832,South Australia,Northern Europe
1956-1965,309,1659,383274,1292558,1675832,South Australia,Northern Europe
1966-1975,451,1659,383274,1292558,1675832,South Australia,Northern Europe
1976-1985,137,1659,383274,1292558,1675832,South Australia,Northern Europe
1986-1995,157,1659,383274,1292558,1675832,South Australia,Northern Europe
1996-2005,210,1659,383274,1292558,1675832,South Australia,Northern Europe
2006-2015,387,1498,2067794,5407771,7475565,New South Wales,Caribbean
1900-1945,0,1498,2067794,5407771,7475565,New South Wales,Caribbean
1946-1955,18,1498,2067794,5407771,7475565,New South Wales,Caribbean
1956-1965,64,1498,2067794,5407771,7475565,New South Wales,Caribbean
1966-1975,329,1498,2067794,5407771,7475565,New South Wales,Caribbean
1976-1985,204,1498,2067794,5407771,7475565,New South Wales,Caribbean
1986-1995,173,1498,2067794,5407771,7475565,New South Wales,Caribbean
1996-2005,242,1498,2067794,5407771,7475565,New South Wales,Caribbean
2006-2015,36552,72963,796296,1676721,2473017,Western Australia,Southern and East Africa
1900-1945,16,72963,796296,1676721,2473017,Western Australia,Southern and East Africa
1946-1955,139,72963,796296,1676721,2473017,Western Australia,Southern and East Africa
1956-1965,1081,72963,796296,1676721,2473017,Western Australia,Southern and East Africa
1966-1975,2749,72963,796296,1676721,2473017,Western Australia,Southern and East Africa
1976-1985,5218,72963,796296,1676721,2473017,Western Australia,Southern and East Africa
1986-1995,6472,72963,796296,1676721,2473017,Western Australia,Southern and East Africa
1996-2005,18082,72963,796296,1676721,2473017,Western Australia,Southern and East Africa
2006-2015,2833,12933,383274,1292558,1675832,South Australia,New Zealand
1900-1945,52,12933,383274,1292558,1675832,South Australia,New Zealand
1946-1955,109,12933,383274,1292558,1675832,South Australia,New Zealand
1956-1965,373,12933,383274,1292558,1675832,South Australia,New Zealand
1966-1975,1360,12933,383274,1292558,1675832,South Australia,New Zealand
1976-1985,2704,12933,383274,1292558,1675832,South Australia,New Zealand
1986-1995,2437,12933,383274,1292558,1675832,South Australia,New Zealand
1996-2005,2422,12933,383274,1292558,1675832,South Australia,New Zealand
2006-2015,867,3301,383274,1292558,1675832,South Australia,Ireland
1900-1945,10,3301,383274,1292558,1675832,South Australia,Ireland
1946-1955,130,3301,383274,1292558,1675832,South Australia,Ireland
1956-1965,402,3301,383274,1292558,1675832,South Australia,Ireland
1966-1975,816,3301,383274,1292558,1675832,South Australia,Ireland
1976-1985,281,3301,383274,1292558,1675832,South Australia,Ireland
1986-1995,385,3301,383274,1292558,1675832,South Australia,Ireland
1996-2005,268,3301,383274,1292558,1675832,South Australia,Ireland
2006-2015,4187,18111,1013715,3687318,4701033,Queensland,Melanesia
1900-1945,163,18111,1013715,3687318,4701033,Queensland,Melanesia
1946-1955,157,18111,1013715,3687318,4701033,Queensland,Melanesia
1956-1965,904,18111,1013715,3687318,4701033,Queensland,Melanesia
1966-1975,3810,18111,1013715,3687318,4701033,Queensland,Melanesia
1976-1985,3241,18111,1013715,3687318,4701033,Queensland,Melanesia
1986-1995,2089,18111,1013715,3687318,4701033,Queensland,Melanesia
1996-2005,2265,18111,1013715,3687318,4701033,Queensland,Melanesia
2006-2015,441,1127,104898,292235,397133,Australian Capital Territory,North Africa
1900-1945,0,1127,104898,292235,397133,Australian Capital Territory,North Africa
1946-1955,28,1127,104898,292235,397133,Australian Capital Territory,North Africa
1956-1965,37,1127,104898,292235,397133,Australian Capital Territory,North Africa
1966-1975,63,1127,104898,292235,397133,Australian Capital Territory,North Africa
1976-1985,29,1127,104898,292235,397133,Australian Capital Territory,North Africa
1986-1995,75,1127,104898,292235,397133,Australian Capital Territory,North Africa
1996-2005,390,1127,104898,292235,397133,Australian Capital Territory,North Africa
2006-2015,2415,15568,104898,292235,397133,Australian Capital Territory,"United Kingdom, Channel Islands and Isle of Man"
1900-1945,68,15568,104898,292235,397133,Australian Capital Territory,"United Kingdom, Channel Islands and Isle of Man"
1946-1955,1167,15568,104898,292235,397133,Australian Capital Territory,"United Kingdom, Channel Islands and Isle of Man"
1956-1965,2809,15568,104898,292235,397133,Australian Capital Territory,"United Kingdom, Channel Islands and Isle of Man"
1966-1975,4153,15568,104898,292235,397133,Australian Capital Territory,"United Kingdom, Channel Islands and Isle of Man"
1976-1985,1723,15568,104898,292235,397133,Australian Capital Territory,"United Kingdom, Channel Islands and Isle of Man"
1986-1995,1342,15568,104898,292235,397133,Australian Capital Territory,"United Kingdom, Channel Islands and Isle of Man"
1996-2005,1421,15568,104898,292235,397133,Australian Capital Territory,"United Kingdom, Channel Islands and Isle of Man"
2006-2015,730,1022,45293,183429,228722,Northern Territory,Ireland
1900-1945,0,1022,45293,183429,228722,Northern Territory,Ireland
