1900-1945,1946-1955,1956-1965,1966-1975,1976-1985,1986-1995,1996-2005,2006-2015,latitude,longitude,Origin
135,1159,9264,18157,1859,4239,6122,1260,45.1,15.2,Croatia
0,3,7,6,23,8,13,28,18.971187,-72.285215,Haiti
75,2091,5568,1637,1844,2041,1037,2801,47.162494,19.503304,Hungary
112,1156,1314,2083,4869,9185,20604,28894,-0.789275,113.921327,Indonesia
172,1682,4016,10084,5513,10014,8641,31693,53.41291,-8.24389,Ireland
77,350,670,837,996,1441,1988,2973,31.046051,34.851612,Israel
0,62,107,138,85,99,96,161,54.236107,-4.548056,Isle of Man
218,2307,2300,15789,9188,26578,69459,291421,20.593684,78.96288,India
6,37,153,1349,1703,7431,20010,32336,33.223191,43.679291,Iraq
12,95,121,1136,3400,6906,8224,35310,32.427908,53.688046,Iran
0,7,12,87,62,71,44,160,64.963051,-19.020835,Iceland
1486,37633,65176,33582,5382,2790,3533,14391,41.87194,12.56738,Italy
0,32,142,260,138,121,218,232,49.214439,-2.13125,Jersey
0,10,37,200,159,112,170,297,18.109581,-77.297508,Jamaica
0,0,122,557,281,1093,1241,2086,30.585164,36.238414,Jordan
33,388,363,829,1717,5910,11630,16697,36.204824,138.252924,Japan
11,41,849,1232,986,1243,4285,7721,-0.023559,37.906193,Kenya
0,0,0,0,0,23,139,225,41.20438,74.766098,Kyrgyzstan
0,0,14,227,9357,8172,5673,7939,12.565679,104.990963,Cambodia
5,4,48,39,70,56,79,164,-3.370417,-168.734039,Kiribati
0,0,0,0,0,5,5,12,-11.875001,43.872219,Comoros
0,0,8,6,5,9,3,5,17.357822,-62.782998,Saint Kitts and Nevis
0,0,0,7,10,14,11,14,40.339852,127.510093,"Korea, Democratic People's Republic of (North)"
7,8,41,595,4871,11927,23672,48362,35.907757,127.766922,"Korea, Republic of (South)"
0,0,27,155,162,919,1340,3058,29.31166,47.481766,Kuwait
0,0,0,5,0,6,23,92,19.513469,-80.566956,Cayman Islands
0,8,10,12,14,171,434,838,48.019573,66.923684,Kazakhstan
0,0,14,215,5164,2587,739,1216,19.85627,102.495496,Laos
92,1060,3311,17637,15536,15867,10830,10496,33.854721,35.862285,Lebanon
0,0,0,6,3,4,8,24,13.909444,-60.978893,Saint Lucia
0,0,0,5,0,3,0,6,47.166,9.555373,Liechtenstein
61,515,1787,6324,6049,20611,19830,49321,7.873054,80.771797,Sri Lanka
0,0,0,19,14,38,1061,1747,6.428055,-9.429499,Liberia
0,0,0,10,9,18,40,47,-29.609988,28.233608,Lesotho
27,1078,62,35,72,176,247,707,55.169438,23.881275,Lithuania
0,8,10,37,21,26,41,65,49.815273,6.129583,Luxembourg
40,2392,75,54,91,199,286,435,56.879635,24.603189,Latvia
0,60,384,322,133,123,238,1192,26.3351,17.228331,Libya
0,22,92,257,218,221,308,631,31.791702,-7.09262,Morocco
0,0,6,8,5,4,15,29,43.750298,7.412841,Monaco
0,0,0,5,59,311,264,313,47.411631,28.369885,Moldova
4,13,79,335,159,254,238,152,42.708678,19.37439,Montenegro
0,0,15,30,23,32,49,79,-18.766947,46.869107,Madagascar
0,0,0,0,0,6,9,6,7.131474,171.184478,Marshall Islands
51,519,2916,17629,4218,5979,3521,2706,41.608635,21.745275,Macedonia [FYROM]
0,4,3,6,0,10,3,32,17.570692,-3.996166,Mali
28,265,445,2766,1066,2698,3498,19843,21.913965,95.956223,Myanmar
0,0,3,0,10,14,172,1476,46.862496,103.846656,Mongolia
0,0,0,0,0,4,15,7,17.33083,145.38469,Northern Mariana Islands
0,0,0,3,0,4,5,8,14.641528,-61.024174,Martinique
0,0,0,0,0,5,11,29,21.00789,-10.940835,Mauritania
130,11248,13375,6732,2545,905,510,652,35.937496,14.375416,Malta
8,43,529,6173,2236,4213,2650,7555,-20.348404,57.552152,Mauritius
0,0,0,7,10,20,111,341,3.202778,73.22068,Maldives
0,5,30,62,123,126,238,573,-13.254308,34.301525,Malawi
3,5,11,127,200,250,704,3058,23.634501,-102.552784,Mexico
250,321,3004,9442,17713,25846,21852,49886,4.210484,101.975766,Malaysia
0,0,7,44,119,173,177,277,-18.665695,35.529562,Mozambique
0,4,21,36,83,100,392,587,-22.95764,18.49041,Namibia
12,46,82,135,197,202,184,339,-20.904305,165.618042,New Caledonia
0,0,0,0,0,4,5,11,17.607789,8.081666,Niger
0,3,78,185,199,493,1227,5197,9.081999,8.675277,Nigeria
0,0,3,8,199,359,54,79,12.865416,-85.207229,Nicaragua
116,22350,18849,6510,5795,2674,4488,6577,52.132633,5.291266,Netherlands
5,160,336,467,189,294,663,1224,60.472024,8.468946,Norway
0,0,4,19,60,755,3425,43642,28.394857,84.124008,Nepal
9,11,46,90,76,64,118,113,-0.522778,166.931503,Nauru
0,0,0,4,86,155,241,276,-19.054445,-169.867233,Niue
1065,2223,8187,32712,75875,84919,114064,172096,-40.900557,174.885971,New Zealand
0,0,0,0,5,74,272,1072,21.512583,55.923255,Oman
0,4,3,17,33,34,35,70,8.537981,-80.782127,Panama
0,15,39,847,810,2268,1639,3546,-9.189967,-75.015152,Peru
6,8,20,27,39,64,88,161,-17.679742,-149.406843,French Polynesia
421,392,2005,7507,5411,2909,2665,5518,-6.314993,143.95555,Papua New Guinea
35,75,434,3420,20339,50774,35847,108153,12.879721,121.774017,Philippines
3,92,147,631,1234,3861,9504,41248,30.375321,69.345116,Pakistan
292,4782,4119,2552,12691,9935,3777,5580,51.919438,19.145136,Poland
0,0,0,16,13,5,30,60,18.220833,-66.590149,Puerto Rico
3,75,571,5101,3225,3517,730,1979,39.399872,-8.224454,Portugal
0,0,0,0,0,0,4,6,7.51498,134.58252,Palau
0,0,3,101,87,58,62,100,-23.442503,-58.443832,Paraguay
0,0,3,19,26,96,171,679,25.354826,51.183884,Qatar
16,441,382,330,2419,4490,2688,3143,45.943161,24.96676,Romania
8,278,1057,6613,1663,3468,4182,2255,44.016521,21.005859,Serbia
37,582,329,244,976,3407,5245,8550,61.52401,105.318756,Russian Federation
0,0,0,3,0,10,130,695,-1.940278,29.873888,Rwanda
0,0,14,51,80,604,1158,8823,23.885942,45.079162,Saudi Arabia
27,21,76,205,237,251,437,583,-9.64571,160.156194,Solomon Islands
0,54,358,747,286,387,246,346,-4.679574,55.491977,Seychelles
0,0,0,3,4,29,4447,2945,6.877,31.307,South Sudan
8,20,64,359,163,1227,9044,5352,12.862807,30.217636,Sudan
7,136,402,1366,715,1259,1735,3243,60.128161,18.643501,Sweden
186,250,1206,4099,5293,7538,12563,20076,1.352083,103.819836,Singapore
0,0,0,7,8,4,8,10,-24.143474,-10.030696,Saint Helena
8,697,2043,1294,173,244,221,621,46.151241,14.995463,Slovenia
10,202,59,456,474,684,934,1396,48.669026,19.699024,Slovakia
0,0,16,19,45,78,1343,1785,8.460555,-11.779889,Sierra Leone
0,0,3,88,29,40,54,130,14.497401,-14.452362,Senegal
0,0,6,12,34,1184,2703,3228,5.152149,46.199616,Somalia
0,6,12,5,19,12,25,50,3.919305,-56.027783,Suriname
0,6,11,37,1390,6944,505,476,13.794185,-88.89653,El Salvador
0,22,133,1413,1038,2241,1870,5871,34.802075,38.996815,Syria
0,0,6,17,41,46,93,95,-26.522503,31.465866,Swaziland
0,0,0,4,6,0,10,24,15.454166,18.732207,Chad
0,0,0,0,0,9,18,274,8.619543,0.824782,Togo
3,22,112,716,3774,8030,12960,34408,15.870032,100.992541,Thailand
0,0,0,0,0,22,33,60,38.861034,71.276093,Tajikistan
0,0,0,0,4,101,206,213,-8.967363,-171.855881,Tokelau
3,7,12,1270,3499,3096,562,444,-8.874217,125.727539,Timor-Leste
0,0,0,0,0,7,25,48,38.969719,59.556278,Turkmenistan
0,18,67,115,49,57,65,163,33.886917,9.537499,Tunisia
12,9,52,443,2157,2229,1803,2430,-21.178986,-175.198242,Tonga
14,107,270,9210,4815,6205,5129,4949,38.963745,35.243322,Turkey
0,19,62,476,158,194,187,367,10.691803,-61.222503,Trinidad and Tobago
0,0,0,5,9,31,32,63,-7.109535,177.64933,Tuvalu
0,0,23,193,1096,8910,9385,20948,23.69781,120.960515,Taiwan
7,51,209,412,316,323,691,1685,-6.369028,34.888822,Tanzania
24,1762,154,200,1096,3579,2763,3153,48.379433,31.16558,Ukraine
0,30,114,302,210,280,706,1540,1.373333,32.290275,Uganda
93,797,2106,9150,7343,9936,16584,33885,37.09024,-95.712891,United States of America
4,3,29,5109,1891,916,429,355,-32.522779,-55.765835,Uruguay
0,14,15,27,44,250,313,795,41.377491,64.585262,Uzbekistan
0,16,96,146,137,284,671,3632,6.42375,-66.58973,Venezuela
16,62,150,1931,62923,60846,25831,54904,14.058324,108.277199,Vietnam
18,35,77,119,192,169,184,263,-15.376706,166.959158,Vanuatu
0,0,0,0,6,0,3,6,-13.768752,-177.156097,Wallis and Futuna
8,9,57,143,1289,5135,6595,9138,-13.759029,-172.104629,Samoa
0,0,30,93,51,107,607,234,42.602636,20.902977,Kosovo
0,0,33,110,38,62,166,230,15.552727,48.516388,Yemen
106,358,2302,5793,16074,18425,47114,66874,-30.559482,22.937506,South Africa
0,25,219,537,712,742,1476,2293,-13.133897,27.849332,Zambia
3,58,506,637,3509,2908,9854,16152,-19.015438,29.154857,Zimbabwe
3714,52689,125950,224851,91574,85164,105496,181906,52.3555,-1.1743,England
101,1160,3217,6634,3414,2898,3450,6341,52.1307,-3.7837,Wales
759,9744,21701,25295,14255,11556,11887,20441,56.4907,-4.2026,Scotland
57,1349,3534,6194,2856,2016,2027,4410,54.7877,-6.4923,Northern Ireland
